generation,fitness,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
83,41016.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
84,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.45,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
85,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.35,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
86,41016.0,1.65,0.0,1.1,2.2,0.70,0.2,2.85,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
87,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.35,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
88,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.45,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
89,41016.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
90,41016.0,1.65,0.0,1.1,2.2,0.70,0.2,2.85,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
91,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.45,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
92,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
93,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
94,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
95,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
96,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
97,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
98,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
99,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
100,41040.0,1.65,0.0,1.1,2.2,0.75,2.65,0.9,1.5,1.8,0.70,0.2,1.3,0.9,2.5,2.95,2.30
