generation,fitness,tag,name,href,alt,type,aria-label,xpath.idxpath,location,dimension,visible_text,neighbour_text,attributes
58,358552.0,1.05,2.35,0.70,0.65,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
59,358552.0,1.05,2.85,0.65,0.2,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
60,358552.0,1.05,2.35,0.70,1.75,2.65,0.95,0.85,0.95,0.35,2.7,1.45,1.95
61,358552.0,1.05,2.85,0.65,0.2,0.60,1.05,0.85,0.95,0.35,2.7,1.45,1.95
62,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
63,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
64,358552.0,1.05,2.85,0.65,0.0,0.60,1.05,0.85,0.95,0.35,2.7,1.45,1.95
65,358552.0,1.05,2.85,0.65,2.6,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
66,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
67,358552.0,1.05,2.35,0.70,0.65,2.65,0.95,0.85,0.95,0.35,2.7,1.45,1.95
68,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
69,358552.0,1.05,2.85,0.65,2.6,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
