score,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
357512.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,4
357888.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,3
357240.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,4
357984.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,4
357336.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,5
357896.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
357416.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
357992.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
357512.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
357920.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
357432.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
358088.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
357528.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
356796.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,2
356028.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,3
356892.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,3
356124.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,4
