name,id,href,score
0.0,1.0,2.0,354224.0
0.0,1.0,2.2,354416.0
0.0,1.0,2.4,354320.0
0.0,1.0,2.6,354176.0
0.0,1.0,2.8,354464.0
0.0,1.0,3.0,354368.0
0.0,1.2,0.0,348992.0
0.0,1.2,0.2,352304.0
0.0,1.2,0.4,353504.0
0.0,1.2,0.6,353984.0
0.0,1.2,0.8,354176.0
0.0,1.2,1.0,354272.0
0.0,1.2,1.2,354752.0
0.0,1.2,1.4,354848.0
0.0,1.2,1.6,354656.0
0.0,1.2,1.8,354560.0
0.0,1.2,2.0,354224.0
0.0,1.2,2.2,354032.0
0.0,1.2,2.4,354320.0
0.0,1.2,2.6,354176.0
0.0,1.2,2.8,354176.0
0.0,1.2,3.0,354368.0
0.0,1.4,0.0,348944.0
0.0,1.4,0.2,352304.0
0.0,1.4,0.4,353312.0
0.0,1.4,0.6,353984.0
0.0,1.4,0.8,354176.0
0.0,1.4,1.0,354272.0
0.0,1.4,1.2,354752.0
0.0,1.4,1.4,354848.0
0.0,1.4,1.6,354656.0
0.0,1.4,1.8,354560.0
0.0,1.4,2.0,354368.0
0.0,1.4,2.2,354032.0
0.0,1.4,2.4,353936.0
0.0,1.4,2.6,354176.0
0.0,1.4,2.8,354176.0
0.0,1.4,3.0,354080.0
0.0,1.6,0.0,348944.0
0.0,1.6,0.2,352304.0
0.0,1.6,0.4,353312.0
0.0,1.6,0.6,353984.0
0.0,1.6,0.8,354176.0
0.0,1.6,1.0,354272.0
0.0,1.6,1.2,354752.0
0.0,1.6,1.4,354848.0
0.0,1.6,1.6,354656.0
0.0,1.6,1.8,354560.0
0.0,1.6,2.0,354368.0
0.0,1.6,2.2,354176.0
0.0,1.6,2.4,353936.0
0.0,1.6,2.6,353792.0
0.0,1.6,2.8,354176.0
0.0,1.6,3.0,354080.0
0.0,1.8,0.0,348944.0
0.0,1.8,0.2,352304.0
0.0,1.8,0.4,353312.0
0.0,1.8,0.6,353984.0
