property,algo,score,tag,className,name,id,href,alt,xpath.chrome,xpath.idxpath,location,dimension,visible_text,neighbour_text,type,aria-label,attributes
alt,equal (option),38184.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,equal (option),38184.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),38184.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,levenshtein (option),38184.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,aspectRatio,38592.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,jaccard (option),38688.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,jaroWinkler (option),38712.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
attributes,intersectValueCompare,38712.0,equal,levenshtein (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
type,equal (option),38712.0,equal,levenshtein (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
tag,jaroWinkler,38808.0,equal,levenshtein (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
className,stringSet (option),39096.0,jaroWinkler,levenshtein (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
location,distanceLinear,39096.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
